// Calibration coefficients for GSFMA305
// HPGe energies only
// First column - detector ID; Second column - no. of polynomials 
// then the coefficients starting with offset
//
//
//
//
//
//  Do not delete or remove the first ten lines of this file.
110
71	5 -5.34179193544E-01  1.00668034214E+00 -1.68391259493E-05  2.08617441687E-08 -1.17704463001E-11  2.39963496288E-15
72	5 -7.11532792880E-01  1.00527429038E+00 -1.33025958249E-05  1.73334397734E-08 -1.09622572808E-11  2.61144979631E-15
73	5 -9.13779147005E-02  1.00451818545E+00 -1.32311700027E-05  1.69425217731E-08 -1.02348085884E-11  2.32297216396E-15
74	5 -1.16301755424E+00  1.00946347845E+00 -2.53867316643E-05  3.36893363743E-08 -2.14470486444E-11  5.17501203223E-15
75	5 -2.96962464906E-01  1.00392614737E+00 -1.16583710949E-05  1.63000904613E-08 -1.04579979736E-11  2.47657146415E-15
76	5 -6.81510644492E-01  1.00585436792E+00 -1.47513894222E-05  1.83178335133E-08 -1.11325208659E-11  2.57257489266E-15
77	5 -2.41224352000E-01  1.00411535419E+00 -1.08311814899E-05  1.28499128198E-08 -7.03982532310E-12  1.41284995571E-15
78	5 -4.56808046741E-03  1.00218900857E+00 -6.19673754706E-06  7.71626439843E-09 -4.33980845994E-12  8.56688075196E-16
79	5 -9.82555307264E-02  1.00281500664E+00 -6.73039298389E-06  8.37712047483E-09 -5.09212531491E-12  1.17330921139E-15
80	5 -2.06477358578E+00  1.02008311644E+00 -6.86556762503E-05  1.11656043513E-07 -8.10604285970E-11  2.13901775764E-14
81	5 -2.43874836205E-01  1.00264860861E+00 -5.21054008668E-06  4.82447917168E-09 -2.04240880903E-12  2.76552043991E-16
82	5 -5.59635836766E-01  1.00535323651E+00 -1.26646047921E-05  1.48865622894E-08 -8.56852372150E-12  1.89413676317E-15
83	5 -5.29578844108E-01  1.00543302210E+00 -1.57162611382E-05  2.26276065046E-08 -1.56450172892E-11  4.04604904942E-15
84	5 -3.67572367321E-01  1.00319783384E+00 -6.38476544812E-06  6.32096721022E-09 -3.25269626485E-12  6.43701184584E-16
85	5 -3.72669945194E-01  1.00413275681E+00 -1.09162779129E-05  1.43831531344E-08 -8.99994007537E-12  2.09248654363E-15
86	5 -3.57290266052E-01  1.00241327582E+00 -2.99271295048E-06  5.36020499585E-10  1.03570695308E-12 -4.82696540569E-16
87	5 -6.98572872452E-01  1.00925623080E+00 -3.80890364251E-05  7.50572454421E-08 -6.39801313469E-11  1.94015209837E-14
88	5 -5.14571140359E-01  1.00416026924E+00 -1.12890885301E-05  1.47228760617E-08 -8.92734232307E-12  1.99263550701E-15
89	5  6.43245020304E-02  1.00211771897E+00 -6.39564907251E-06  8.65701515791E-09 -5.43175872133E-12  1.26145273996E-15
90	5 -2.37501261373E-01  1.00109877166E+00  3.27695434145E-06 -9.00597144467E-09  7.50366802442E-12 -2.05084444775E-15
91	5  1.63896558993E-01  1.00106667368E+00 -2.74046914708E-06  2.87904392723E-09 -1.38153070922E-12  2.01003564387E-16
92	5 -1.43537159465E-01  1.00252208255E+00 -3.61410940577E-06  3.12118920370E-09 -1.12527810051E-12  6.88834391327E-17
93	5  4.03761692778E-02  1.00095591485E+00 -6.85599739210E-07 -7.96259767683E-10  1.40727983340E-12 -5.48071894192E-16
